rank,cluster,stock_1,stock_2,crossings,half_life,hedge_ratio,correlation
50,21,ups,axp,33,186.12,0.7532,0.4875
51,6,dvn,apc,32,17.21,0.7668,0.7357
52,16,usb,dwdp,32,31.57,0.7128,0.4933
53,6,lpi,apc,31,9.94,0.4316,0.5573
54,17,uhal,cabo,31,21.8,0.0324,0.2183
55,16,bk,phm,31,44.27,0.707,0.455
56,6,lpi,spn,30,9.43,0.3133,0.5536
57,6,hes,pten,30,14.55,0.636,0.5351
58,16,dwdp,phm,30,41.02,0.8804,0.346
59,8,goog,azo,29,8.4,-0.6596,0.2114
60,8,goog,mkl,29,9.57,1.2465,0.2565
61,6,spn,pten,29,14.03,1.4295,0.699
62,8,agn_a,wtm,29,16.7,-0.9768,-0.0098
63,16,bk,dwdp,29,30.73,0.7052,0.4658
64,20,mhk,coo,28,5.07,0.6161,0.4045
65,26,cbg,unm,28,12.3,1.0963,0.3919
66,6,spn,hes,28,30.17,1.8054,0.593
67,8,mkl,azo,27,8.92,-0.3757,0.1855
68,26,ben,cbg,27,10.12,0.5023,0.4685
69,6,lpi,pten,27,12.93,0.4205,0.5053
70,17,uhal,regn,27,19.6,0.137,0.2358
71,17,mtd,neu,27,57.88,2.3436,0.3953
72,12,aph,mchp,26,4.31,0.9094,0.4485
73,12,mchp,dvmt,26,12.0,0.6393,0.4672
74,16,usb,bk,26,42.93,0.9199,0.8148
75,6,dvn,spn,26,92.56,0.503,0.6474
76,20,mmm,coo,25,4.91,0.7207,0.4789
77,8,agn_a,usb_a,25,9.73,-1.2417,0.1471
78,16,bk,san,25,51.58,0.5159,0.615
79,6,pten,nov,24,9.54,1.8556,0.6264
80,6,apc,nov,24,10.16,1.9474,0.4923
81,26,ben,drh,24,10.95,0.649,0.2419
82,16,bp,san,24,66.45,0.3669,0.5571
83,8,mkl,usb_a,23,12.94,0.8172,0.126
84,6,spn,apc,23,16.05,1.3111,0.5516
85,17,neu,bh,23,46.14,0.2374,0.1351
86,21,hon,axp,23,301.53,1.2078,0.5671
87,21,brk-b,cat,23,962.19,0.6673,0.5953
88,12,wday,emn,22,8.41,1.2171,0.2591
89,8,amzn,wtm,22,11.57,2.3978,0.1208
90,26,ben,fhn,22,13.96,-0.1986,0.5372
91,8,mkl,agn_a,22,17.32,-0.2423,0.2028
92,16,bp,slb,22,171.23,0.2122,0.6814
93,29,sti,isbc,21,2.82,1.4174,0.6145
94,29,mas,isbc,21,3.68,0.9485,0.3774
95,2,ev,cfx,21,3.82,0.4497,0.448
96,2,ev,vsh,21,4.25,0.2676,0.4012
97,12,aph,ftv,21,5.82,1.1434,0.4724
98,8,amzn,mkl,21,9.44,2.262,0.2642
99,29,ntap,zion,21,14.16,1.166,0.2748
100,6,apa,hes,21,15.81,1.0404,0.6562
101,8,agn_a,azo,21,25.05,0.1833,0.1143
102,17,blk,regn,21,199.02,-0.1164,0.354
103,29,pbct,kkr,20,2.86,0.9395,0.5104
104,12,pfg,wday,20,12.52,0.2196,0.1114
105,6,hes,nov,20,20.1,1.1383,0.5335
106,29,kkr,isbc,19,1.54,1.471,0.3765
107,29,kkr,sti,19,3.23,0.902,0.5172
108,29,kkr,zion,19,3.55,0.9893,0.4342
109,2,ev,l,19,3.69,0.9655,0.5079
110,8,amzn,usb_a,19,4.58,3.1869,0.0596
111,20,mhk,rop,19,5.98,0.8371,0.429
112,8,goog,usb_a,19,12.11,1.4599,0.0338
113,6,apa,pten,19,15.02,0.722,0.5115
114,16,slb,dwdp,19,37.97,-0.056,0.4484
115,16,fitb,san,19,78.03,0.7179,0.571
116,21,hon,cat,19,744.27,0.9507,0.6621
117,29,pbct,mas,18,2.14,1.2912,0.4732
118,29,pbct,isbc,18,4.69,1.5324,0.7418
119,12,mchp,ftv,18,6.01,1.1499,0.3082
120,6,apc,pten,18,8.9,1.02,0.483
121,12,mchp,emn,18,8.99,1.2703,0.363
122,12,pfg,ftv,18,10.4,0.3957,0.4345
123,6,apa,spn,18,11.65,0.5002,0.5574
124,6,hes,apc,18,14.25,0.6089,0.6171
125,26,ben,unm,18,23.06,0.4899,0.5309
126,18,obe,mur,17,0.62,1.1953,0.436
127,3,bac_l,pcln,17,2.17,-0.0654,-0.0667
128,3,hbanp,pcln,17,2.4,-0.0412,-0.0699
129,2,ev,cvg,17,3.6,0.4444,0.3577
130,2,avt,ewbc,17,4.3,0.7063,0.4594
131,29,mas,ntap,17,5.07,0.3749,0.3742
132,29,mas,zion,17,5.84,0.6094,0.3261
133,29,ntap,nycb,17,7.76,1.2191,0.3505
134,12,aph,emn,17,8.37,1.2789,0.3715
135,20,fcnca,fdx,17,8.91,1.1027,0.5138
136,12,pfg,emn,17,10.13,0.5152,0.5323
137,20,rop,ayi,17,13.53,-0.4749,0.3629
138,6,spn,nov,17,17.92,2.654,0.6644
139,20,mhk,ayi,17,21.48,-0.3021,0.5313
140,6,dvn,hes,17,25.21,1.0679,0.7196
141,26,cbg,drh,17,40.64,0.2102,0.2963
142,17,mtd,bh,17,5208.2,-0.2237,0.1747
143,29,sti,zion,16,2.23,1.094,0.8179
144,20,mhk,mmm,16,5.04,0.7855,0.3901
145,12,emn,ftv,16,6.19,0.7454,0.318
146,20,coo,fdx,16,7.16,1.0479,0.2911
147,20,mhk,avb,16,8.77,1.8545,0.3846
148,6,lpi,apa,16,14.97,0.4822,0.5735
149,12,wday,dvmt,16,15.39,0.463,0.4481
150,6,lpi,hes,16,15.8,0.5705,0.5872
151,8,amzn,goog,16,17.63,1.5761,0.6599
152,8,azo,usb_a,16,29.0,-1.1689,0.0079
153,21,dhr,axp,16,180.25,0.8292,0.5208
154,2,cfx,cvg,15,4.96,0.6389,0.4082
155,29,nycb,zion,15,5.3,0.5939,0.5383
156,29,ntap,isbc,15,6.71,1.6614,0.2616
157,20,mmm,fdx,15,10.15,0.8015,0.4341
158,20,rop,avb,15,11.78,1.8901,0.2979
159,26,cbg,cit,15,18.52,0.8159,0.3788
160,8,goog,wtm,15,19.51,1.1375,0.0631
161,26,unm,drh,15,39.35,0.0307,0.3574
162,17,neu,regn,15,47.9,-0.0728,0.2218
163,29,isbc,zion,14,2.21,0.5755,0.4987
164,29,kkr,mas,14,3.37,1.1333,0.4711
165,29,kkr,ntap,14,6.23,0.5276,0.3245
166,20,mhk,fdx,14,7.1,0.6856,0.4369
167,12,wday,ftv,14,12.11,0.9877,0.3105
168,20,coo,avb,14,16.32,2.3295,0.2962
169,6,dvn,nov,14,16.78,1.5283,0.6047
170,20,ayi,coo,14,21.02,-0.2731,0.1912
171,12,aph,wday,14,22.41,0.7529,0.4522
172,6,dvn,pten,14,27.38,0.7734,0.6594
173,18,cpe,mtdr,13,1.86,0.8312,0.574
174,18,crzo,obe,13,1.87,1.306,0.5016
175,2,avt,cvg,13,4.07,0.6216,0.4746
176,3,cci_a,hbanp,13,5.5,-0.6749,-0.0421
177,2,aple,cvg,13,6.13,0.4675,0.343
178,2,ev,aple,13,6.93,0.3467,0.3081
179,12,pfg,mchp,13,12.23,0.2583,0.2515
180,12,itw,emn,13,13.55,0.8635,0.5387
181,26,cit,drh,13,15.9,0.9484,0.3303
182,8,amzn,azo,13,16.72,-0.9754,0.2836
183,20,rop,coo,13,20.06,0.5709,0.3985
184,6,apa,apc,13,22.1,0.6653,0.6146
185,8,goog,agn_a,13,22.73,-0.4842,0.2741
186,17,regn,cabo,13,53.41,-0.1797,0.1316
187,17,neu,uhal,13,53.63,0.0533,0.2185
188,20,rop,fcnca,13,53.87,0.542,0.5845
189,16,bk,slb,13,120.35,-0.1463,0.4446
190,17,atri,bh,13,361.44,-0.2599,0.1518
191,12,wday,mchp,12,8.99,0.9188,0.5574
192,26,fhn,cit,12,11.33,-0.361,0.6009
193,20,ayi,fdx,12,22.97,-0.243,0.2926
194,6,dvn,lpi,12,31.86,1.1477,0.6934
195,21,utx,cat,12,440.44,0.6323,0.6241
196,18,bte,mdr,11,1.35,1.4218,0.5879
197,18,mtdr,obe,11,1.59,0.5722,0.4622
198,18,crzo,mur,11,1.9,1.6991,0.5238
199,3,bac_l,hbanp,11,2.9,0.0258,0.0098
200,2,ewbc,cvg,11,4.1,0.512,0.4417
201,29,mas,nycb,11,5.25,0.6503,0.3522
202,2,ewbc,vsh,11,5.74,0.2265,0.4507
203,2,avt,aple,11,6.8,0.753,0.4633
204,3,cci_a,bac_l,11,7.1,1.0234,-0.0046
205,2,ewbc,l,11,7.15,0.8601,0.6644
206,2,vsh,cfx,11,8.1,1.1656,0.3718
207,2,avt,l,11,11.95,0.4996,0.382
208,12,itw,mchp,11,18.26,0.5514,0.4143
209,12,aph,dvmt,11,19.18,0.6243,0.4174
210,26,luk,cit,11,19.71,0.2549,0.5587
211,26,mfc,unm,11,20.51,1.0561,0.6287
212,20,fcnca,mmm,11,20.68,1.1673,0.5201
213,8,amzn,agn_a,11,22.13,-1.0393,0.2528
214,12,itw,wday,11,25.58,0.4543,0.2481
215,26,cbg,fhn,11,33.35,-0.2679,0.3736
216,26,cbg,luk,11,41.69,0.7455,0.4292
217,3,cci_a,pcln,10,3.34,-0.2531,-0.0059
218,2,cfx,aple,10,7.76,0.3857,0.3689
219,20,mhk,fcnca,10,12.35,0.5051,0.3136
220,12,dvmt,ftv,10,16.82,1.4196,0.333
