rank,cluster,stock_1,stock_2,crossings,half_life,hedge_ratio,correlation
554,11,xent,sage,0,,0.0,
555,11,xent,ccrc,0,,0.0,
556,11,xent,myok,0,,0.0,
557,11,sage,ccrc,0,,0.0,
558,11,sage,myok,0,,0.0,
559,11,ccrc,myok,0,,0.0,
560,14,srra,tsri,0,,0.0,
561,14,srra,este,0,,0.0,
562,14,srra,nna,0,,0.0,
563,14,srra,psdv,0,,0.0,
564,14,srra,stdy,0,,0.0,
565,14,srra,tues,0,,0.0,
566,14,srra,ondk,0,,0.0,
567,14,tsri,este,0,,0.0,
568,14,tsri,nna,0,,0.0,
569,14,tsri,psdv,0,,0.0,
570,14,tsri,stdy,0,,0.0,
571,14,tsri,tues,0,,0.0,
572,14,tsri,ondk,0,,0.0,
573,14,este,nna,0,,0.0,
574,14,este,psdv,0,,0.0,
575,14,este,stdy,0,,0.0,
576,14,este,tues,0,,0.0,
577,14,este,ondk,0,,0.0,
578,14,nna,psdv,0,,0.0,
579,14,nna,stdy,0,,0.0,
580,14,nna,tues,0,,0.0,
581,14,nna,ondk,0,,0.0,
582,14,psdv,stdy,0,,0.0,
583,14,psdv,tues,0,,0.0,
584,14,psdv,ondk,0,,0.0,
585,14,stdy,tues,0,,0.0,
586,14,stdy,ondk,0,,0.0,
587,14,tues,ondk,0,,0.0,
588,15,smtx,cea,0,,0.0,
589,15,smtx,hdng,0,,0.0,
590,15,smtx,star,0,,0.0,
591,15,smtx,ufab,0,,0.0,
592,15,smtx,cem,0,,0.0,
593,15,smtx,cpsi,0,,0.0,
594,15,smtx,tgp,0,,0.0,
595,15,cea,hdng,0,,0.0,
596,15,cea,star,0,,0.0,
597,15,cea,ufab,0,,0.0,
598,15,cea,cem,0,,0.0,
599,15,cea,cpsi,0,,0.0,
600,15,cea,tgp,0,,0.0,
601,15,hdng,star,0,,0.0,
602,15,hdng,ufab,0,,0.0,
603,15,hdng,cem,0,,0.0,
604,15,hdng,cpsi,0,,0.0,
605,15,hdng,tgp,0,,0.0,
606,15,star,ufab,0,,0.0,
607,15,star,cem,0,,0.0,
608,15,star,cpsi,0,,0.0,
609,15,star,tgp,0,,0.0,
610,15,ufab,cem,0,,0.0,
611,15,ufab,cpsi,0,,0.0,
612,15,ufab,tgp,0,,0.0,
613,15,cem,cpsi,0,,0.0,
614,15,cem,tgp,0,,0.0,
615,15,cpsi,tgp,0,,0.0,
616,19,reml,nrcia,0,,0.0,
617,19,reml,qadb,0,,0.0,
618,19,reml,hska,0,,0.0,
619,19,reml,chubk,0,,0.0,
620,19,reml,ayx,0,,0.0,
621,19,reml,tpor,0,,0.0,
622,19,reml,apts,0,,0.0,
623,19,nrcia,qadb,0,,0.0,
624,19,nrcia,hska,0,,0.0,
625,19,nrcia,chubk,0,,0.0,
626,19,nrcia,ayx,0,,0.0,
627,19,nrcia,tpor,0,,0.0,
628,19,nrcia,apts,0,,0.0,
629,19,qadb,hska,0,,0.0,
630,19,qadb,chubk,0,,0.0,
631,19,qadb,ayx,0,,0.0,
632,19,qadb,tpor,0,,0.0,
633,19,qadb,apts,0,,0.0,
634,19,hska,chubk,0,,0.0,
635,19,hska,ayx,0,,0.0,
636,19,hska,tpor,0,,0.0,
637,19,hska,apts,0,,0.0,
638,19,chubk,ayx,0,,0.0,
639,19,chubk,tpor,0,,0.0,
640,19,chubk,apts,0,,0.0,
641,19,ayx,tpor,0,,0.0,
642,19,ayx,apts,0,,0.0,
643,19,tpor,apts,0,,0.0,
644,23,tco,gfncp,0,,0.7955,
645,23,tco,cbs-a,0,,0.8962,
646,23,tco,dd_a,0,,0.812,
647,23,tco,tmusp,0,,0.8029,
648,23,tco,abmd,0,,0.7023,
649,23,tco,nee_q,0,,0.8612,
650,23,tco,var,0,,0.7863,
651,23,gfncp,cbs-a,0,,1.0758,
652,23,gfncp,dd_a,0,,0.9748,
653,23,gfncp,tmusp,0,,0.9639,
654,23,gfncp,abmd,0,,0.8431,
655,23,gfncp,nee_q,0,,1.0339,
656,23,gfncp,var,0,,0.9439,
657,23,cbs-a,dd_a,0,,0.8536,
658,23,cbs-a,tmusp,0,,0.844,
659,23,cbs-a,abmd,0,,0.7383,
660,23,cbs-a,nee_q,0,,0.9053,
661,23,cbs-a,var,0,,0.8266,
662,23,dd_a,tmusp,0,,0.9423,
663,23,dd_a,abmd,0,,0.8242,
664,23,dd_a,nee_q,0,,1.0107,
665,23,dd_a,var,0,,0.9228,
666,23,tmusp,abmd,0,,0.8345,
667,23,tmusp,nee_q,0,,1.0234,
668,23,tmusp,var,0,,0.9343,
669,23,abmd,nee_q,0,,1.1837,
670,23,abmd,var,0,,1.0807,
671,23,nee_q,var,0,,0.8644,
672,25,mitt_a,gcv_b,0,,0.0,
673,25,mitt_a,gs_i,0,,0.0,
674,25,mitt_a,tpgh-u,0,,0.0,
675,25,mitt_a,pre_f,0,,0.0,
676,25,mitt_a,ras_c,0,,0.0,
677,25,mitt_a,bofil,0,,0.0,
678,25,mitt_a,all_a,0,,0.0,
679,25,gcv_b,gs_i,0,,0.0,
680,25,gcv_b,tpgh-u,0,,0.0,
681,25,gcv_b,pre_f,0,,0.0,
682,25,gcv_b,ras_c,0,,0.0,
683,25,gcv_b,bofil,0,,0.0,
684,25,gcv_b,all_a,0,,0.0,
685,25,gs_i,tpgh-u,0,,0.0,
686,25,gs_i,pre_f,0,,0.0,
687,25,gs_i,ras_c,0,,0.0,
688,25,gs_i,bofil,0,,0.0,
689,25,gs_i,all_a,0,,0.0,
690,25,tpgh-u,pre_f,0,,0.0,
691,25,tpgh-u,ras_c,0,,0.0,
692,25,tpgh-u,bofil,0,,0.0,
693,25,tpgh-u,all_a,0,,0.0,
694,25,pre_f,ras_c,0,,0.0,
695,25,pre_f,bofil,0,,0.0,
696,25,pre_f,all_a,0,,0.0,
697,25,ras_c,bofil,0,,0.0,
698,25,ras_c,all_a,0,,0.0,
699,25,bofil,all_a,0,,0.0,
700,27,eacqu,fteo,0,,0.0,
701,27,eacqu,bcacr,0,,0.0,
702,27,eacqu,lcahw,0,,0.0,
703,27,eacqu,iht,0,,0.0,
704,27,eacqu,cats,0,,0.0,
705,27,eacqu,seneb,0,,0.0,
706,27,eacqu,dglt,0,,0.0,
707,27,fteo,bcacr,0,,0.0,
708,27,fteo,lcahw,0,,0.0,
709,27,fteo,iht,0,,0.0,
710,27,fteo,cats,0,,0.0,
711,27,fteo,seneb,0,,0.0,
712,27,fteo,dglt,0,,0.0,
713,27,bcacr,lcahw,0,,0.0,
714,27,bcacr,iht,0,,0.0,
715,27,bcacr,cats,0,,0.0,
716,27,bcacr,seneb,0,,0.0,
717,27,bcacr,dglt,0,,0.0,
718,27,lcahw,iht,0,,0.0,
719,27,lcahw,cats,0,,0.0,
720,27,lcahw,seneb,0,,0.0,
721,27,lcahw,dglt,0,,0.0,
722,27,iht,cats,0,,0.0,
723,27,iht,seneb,0,,0.0,
724,27,iht,dglt,0,,0.0,
725,27,cats,seneb,0,,0.0,
726,27,cats,dglt,0,,0.0,
727,27,seneb,dglt,0,,0.0,
