rank,cluster,stock_1,stock_2,crossings,half_life,hedge_ratio,correlation
1,9,ctl,slb,168,266.43,0.7309,0.2336
2,8,mrk,gild,98,191.77,0.3849,0.3756
3,18,xom,orcl,88,341.22,0.426,0.2107
4,2,gnw,p,84,61.96,1.0839,0.1642
5,8,qcom,gild,82,102.64,0.2906,0.3466
6,18,ko,orcl,81,402.76,0.4021,0.208
7,8,foxa,gild,80,252.88,0.4843,0.3746
8,8,foxa,mrk,67,116.08,1.2281,0.4445
9,13,btg,lpi,60,74.19,0.4272,0.155
10,4,cpe,hznp,59,76.34,0.3546,0.1124
11,4,cpe,mdr,58,104.21,-0.3272,0.4562
12,10,ms,ebay,54,230.94,0.2134,0.4241
13,4,mdr,hznp,52,56.6,-0.3946,0.0821
14,8,qcom,mrk,51,143.75,0.5633,0.349
15,10,ms,key,49,108.21,0.602,0.6461
16,8,foxa,qcom,49,170.96,1.355,0.4752
17,5,arex,ipdn,47,34.34,1.0119,0.0151
18,10,key,aaba,45,250.56,0.8638,0.319
19,5,bas,linu,44,30.64,2.1211,0.0274
20,13,ag,btg,43,66.6,1.1193,0.7166
21,11,kone,mtbc,42,14.84,-0.0098,0.064
22,13,ag,cde,42,47.98,0.8306,0.7545
23,17,ophc,oasm,41,5.4,0.5098,0.0586
24,13,cde,btg,41,37.3,1.2957,0.6435
25,10,ms,aaba,41,143.96,0.6066,0.3488
26,1,imnp,aphb,39,28.42,0.6911,0.0321
27,15,sndx,apto,38,18.04,0.2707,0.0442
28,13,ag,lpi,36,99.38,0.5968,0.2416
29,13,cde,lpi,36,116.19,0.625,0.2319
30,10,ebay,aaba,36,218.96,0.8115,0.4226
31,11,kone,crtn,35,14.46,-0.0545,-0.0086
32,15,sndx,ears,32,23.9,0.0859,0.0464
33,18,xom,ko,32,781.58,0.8837,0.3732
34,5,crmd,linu,28,178.82,0.1517,-0.0055
35,7,roka,wwr,27,32.7,0.9848,0.0082
36,5,bas,crmd,27,460.49,1.2397,0.0514
37,11,mtbc,crtn,26,43.75,0.3801,-0.0285
38,5,ipdn,linu,25,102.75,0.6534,-0.0205
39,5,crmd,ipdn,24,221.56,0.0247,0.0687
40,10,key,ebay,22,388.41,0.3751,0.3714
41,3,ddez,heus,20,1.8,0.8172,0.1444
42,5,bas,ipdn,20,248.27,1.5802,0.0344
43,2,avp,p,19,297.42,0.6738,0.1
44,3,ddez,hdrw,18,1.78,0.8561,0.1917
45,5,arex,linu,18,112.5,0.7757,0.0247
46,15,ears,apto,17,20.16,1.498,0.0066
47,2,gnw,avp,17,151.78,0.594,0.3146
48,3,ddez,hacv,16,3.49,1.0972,0.0433
49,3,ddez,smmd,16,3.61,0.6253,0.021
50,5,arex,bas,16,225.79,0.3217,0.2768
51,3,ddjp,dewj,15,1.95,0.8139,0.0643
52,3,heus,smmd,15,4.42,0.7364,-0.0492
53,3,sfhy,smmd,12,4.21,-0.0354,-0.0272
54,3,ddjp,heus,12,5.42,1.1508,0.1018
55,3,ddez,ddjp,12,5.45,0.5533,0.3076
56,3,heus,hdrw,11,4.14,0.9038,0.0397
57,3,hdrw,hacv,11,4.9,1.0907,-0.1174
58,3,hdrw,smmd,11,4.94,0.653,0.0578
59,12,sgbx,mram,11,7.43,-0.2836,0.0412
60,3,ddjp,smmd,11,7.57,0.9624,0.0428
61,3,sfhy,hacv,10,3.71,-0.0717,-0.0404
62,3,sfhy,hdrw,10,4.53,-0.0283,-0.022
63,12,sgbx,llex,9,5.04,0.7821,0.051
64,3,heus,sfhy,9,9.22,-2.8502,0.2646
65,3,ddez,dewj,8,4.62,0.491,0.0571
66,3,ddjp,hdrw,8,13.53,0.9881,0.1832
67,3,dewj,smmd,7,16.98,1.0666,0.0885
68,3,heus,dewj,6,7.02,0.5913,0.2939
69,14,lvus,ifix,6,7.05,0.4455,-0.0023
70,3,ddjp,hacv,6,9.26,1.4583,0.0204
71,3,dewj,hdrw,6,15.8,1.2324,0.1228
72,6,flqm,flqs,5,4.78,0.3955,0.0826
73,3,ddez,sfhy,5,8.18,-1.7963,0.2923
74,14,lvin,ifix,5,9.23,3.9786,0.0044
75,3,ddjp,sfhy,5,13.63,-3.7414,0.1809
76,3,dewj,sfhy,5,15.09,-4.9738,0.0039
77,5,arex,crmd,5,385.6,-0.1582,0.1327
78,3,dewj,hacv,4,9.11,1.8804,0.0543
79,6,flqm,wfig,4,11.46,-0.0085,0.0774
80,3,smmd,hacv,4,14.16,1.0144,-0.0037
81,6,flqs,wfig,4,16.31,0.8681,0.0039
82,16,mlpz,mtb-ws,4,,1.2433,0.7479
83,3,heus,hacv,3,4.67,1.2445,-0.0105
84,14,lvin,lvus,3,34.51,0.6303,0.2455
85,16,mlpz,mmdmr,2,0.22,0.1445,-0.0133
86,16,mtb-ws,mmdmr,2,0.43,-0.1333,-0.2833
87,12,llex,mram,2,12.92,-0.0835,-0.0274
88,0,css,smtx,0,,0.0,
89,0,css,demg,0,,0.0,
90,0,css,srra,0,,0.0,
91,0,css,mitt_a,0,,0.0,
92,0,css,uba,0,,0.0,
93,0,css,gcv_b,0,,0.0,
94,0,css,reml,0,,0.0,
95,0,smtx,demg,0,,0.0,
96,0,smtx,srra,0,,0.0,
97,0,smtx,mitt_a,0,,0.0,
98,0,smtx,uba,0,,0.0,
99,0,smtx,gcv_b,0,,0.0,
100,0,smtx,reml,0,,0.0,
101,0,demg,srra,0,,0.0,
102,0,demg,mitt_a,0,,0.0,
103,0,demg,uba,0,,0.0,
104,0,demg,gcv_b,0,,0.0,
105,0,demg,reml,0,,0.0,
106,0,srra,mitt_a,0,,0.0,
107,0,srra,uba,0,,0.0,
108,0,srra,gcv_b,0,,0.0,
109,0,srra,reml,0,,0.0,
110,0,mitt_a,uba,0,,0.0,
111,0,mitt_a,gcv_b,0,,0.0,
112,0,mitt_a,reml,0,,0.0,
113,0,uba,gcv_b,0,,0.0,
114,0,uba,reml,0,,0.0,
115,0,gcv_b,reml,0,,0.0,
