Ticker,Daily Return_25th,Daily Return_50th,Daily Return_75th,MA-10_25th,MA-10_50th,MA-10_75th,EMA_25th,EMA_50th,EMA_75th,Volatility-10_25th,Volatility-10_50th,Volatility-10_75th,RSI_25th,RSI_50th,RSI_75th,Volume MA-20_25th,Volume MA-20_50th,Volume MA-20_75th,High-Low_25th,High-Low_50th,High-Low_75th,Close-Open_25th,Close-Open_50th,Close-Open_75th,ROC-10_25th,ROC-10_50th,ROC-10_75th,Log Returns_25th,Log Returns_50th,Log Returns_75th,Cluster
ava,-0.514967406413952,0.0913939792446915,0.7055738090169072,31.72992499999999,38.3585,40.46235,31.557264753788605,38.29476435468483,40.23600984897235,0.6958405196678836,1.0052634904863005,1.3738266676763629,41.94705079842647,53.39838938454856,65.27391942713453,296275.325,330210.125,416161.1625,1.0857152688630562,1.4559956615022474,1.9638992687284704,-0.4442016028967286,0.091965381808151,0.7187752013225618,-1.376742523319563,0.4927831639770174,2.642880527839775,-0.0051629794736535,0.0009135223974723,0.007030962814352,8
ntnx,-1.987951807228927,-0.1783325902808719,1.614238410596025,19.469,23.06001,28.129,20.132960410019468,23.280644353355378,28.883275911148782,2.472414244031511,3.4925072015453935,4.4588503084517805,36.26943005181344,52.62252794496992,61.30742049469965,1510440.0499999998,2372169.6,4107053.425,3.3849994316475147,4.593971170370126,6.464302242416592,-2.394767291080651,-0.1664834795290609,1.2541750360341035,-7.083371496611105,0.7567178918142958,6.7858581788879935,-0.0200797741315512,-0.0017849179214534,0.0160134811739153,0
arr,-0.5363692087078015,0.0588832350611467,0.6758557901583417,16.8723,18.2879,20.69755,16.953769625760586,18.151033383316808,20.593030507656152,0.7136792490753892,1.010118232395659,1.4552610635161043,41.24157991426823,54.045347799004446,67.68194709785243,470528.6375,564588.675,707269.6875,1.1044738897834507,1.453124485127784,2.040734714902672,-0.4986626599693612,0.048340582449122,0.664787486376698,-1.9905756197863775,0.6793404554948479,3.1305087444840893,-0.0053781284900975,0.0005886589423646,0.0067358211513912,8
bmlp,-1.013188817161273,-0.0179211469534035,1.2992574519317068,47.072645,48.57585,51.251925,47.98619599110561,50.552,51.5099238552596,1.3480651205345249,1.7408463720854193,2.3826062779669455,38.00299990538227,41.22306946119888,47.35095488768117,605.4375,1419.1,1472.6875,0.0,0.0188697046891312,0.1735066807672558,-0.0248538530782168,0.0,0.0,-4.0911776236458195,-2.0614053334442772,-0.5069060335948006,-0.0101837020136012,-0.0001792435939611,0.0129086836286992,0
cone,-0.7703164822088382,0.1537174572493582,1.0847175822993549,30.815,42.597449999999995,50.441375,30.55672228841167,42.27001231530501,50.37006682231221,1.0849275832666934,1.3620103370590473,1.748576094807066,44.44702684466844,56.692966728069095,68.01865136298423,664464.8625,853496.925,1052111.7875,1.6544602096257526,2.1589030112759566,2.9330264315307226,-0.7842379830263526,0.1188266908450515,0.963988304117702,-1.7562705206398994,1.439664534248697,4.383263897132256,-0.0077329874712845,0.0015359911826375,0.0107887669562028,8
exg,-0.4003450533885511,0.1133465407014866,0.5694523463631751,7.33569,7.589650000000001,7.9445825,7.325888448669612,7.5547944397001,7.955704814701942,0.5231684805453168,0.7040247717209602,0.9601565170541028,44.42534532141582,55.11209702417856,67.62338823812573,832628.2,928630.25,1171688.425,0.6861859778239219,0.9223286382919896,1.2679695284778103,-0.4182078911766339,0.0,0.4269705036066428,-0.8960483887102855,0.583228291646809,1.9785819647806904,-0.0040114860835567,0.0011328235200359,0.0056783709285951,8
tpvy,-0.2459390620108719,0.0001972394368388,0.1975323655247773,25.2612075,25.32659,25.4339425,25.30421093439617,25.32808670638536,25.40515848718356,0.284339081828848,0.3857365582772443,0.5146713931950766,43.4238534449782,53.15309850231195,58.50728155339824,16347.1875,21181.1,35688.0875,0.432389937106916,0.6350277998411453,0.9163346613545692,-0.1984158415841603,0.0,0.2753737214791374,-0.4724353938808046,0.2373417721518889,0.7312112435545526,-0.0024624344021893,1.972390478058717e-06,0.0019733752559616,8
orbk,-0.7401193351867952,0.1937072705316733,1.1222109137297542,18.768,25.527,32.08425,18.823905112775297,25.781446821748386,32.04919677537306,1.1372467332601186,1.5029991235882194,2.127028375611614,44.23239895697522,57.549084768901906,70.98238855255917,188242.225,258416.375,304587.725,1.7076794839270857,2.2529361259785334,3.0610964907789557,-0.7049221415737219,0.0949543225479654,1.0356859615798908,-2.2746603000224184,1.60850535381043,5.380900582138964,-0.007428719563695,0.0019351989735031,0.0111596084105672,8
cni,-0.6721278806064795,0.0833742764059452,0.7559229514823629,57.71405,63.03135,70.372325,57.856708562985105,62.96126590178661,69.80019752936006,0.8632701377838172,1.121634862189829,1.494327665390298,41.94700018870644,53.788477727636504,64.53011139501547,1007043.7875,1140230.1,1385640.475,1.1562885295179082,1.5484977411843133,2.051639092964926,-0.5527652356073189,0.0679434524133731,0.7691787313734983,-1.790752465967202,0.557550055006184,2.963528901884543,-0.0067439683260202,0.0008333946608654,0.0075308017005201,8
sfun,-2.0161129537998757,0.0,1.8694400837258096,3.56475,5.177,6.7307475,3.5304769659734907,5.329465690088972,6.679914081651107,2.461750065946685,3.3144963760745503,4.162495238351301,39.39393939393938,48.251577260506195,59.97975708502023,2878111.8,4530885.6,6724019.3125,3.3216997632404044,4.503372949747484,6.157165929730728,-1.840533054915091,0.0,1.83287545787546,-6.3063063063063085,-0.4056945358788699,5.425855238164157,-0.020367138948385,0.0,0.0185217910368316,0
