Date,Open,High,Low,Close,Volume,OpenInt,Log_Close
1977-01-03,0.44917,0.45687,0.44917,0.44917,557345,0,-0.8003538437443528
1977-01-04,0.44917,0.44917,0.43346,0.44131,917108,0,-0.8180077026416002
1977-01-05,0.44131,0.44131,0.43346,0.43346,895407,0,-0.8359557592218809
1977-01-06,0.43346,0.44131,0.43346,0.44131,1002764,0,-0.8180077026416002
1977-01-07,0.44131,0.44131,0.44131,0.44131,597319,0,-0.8180077026416002
1977-01-10,0.44131,0.44917,0.44131,0.44917,825738,0,-0.8003538437443528
1977-01-11,0.44917,0.44917,0.44131,0.44131,1138675,0,-0.8180077026416002
1977-01-12,0.44131,0.44917,0.44131,0.44131,606455,0,-0.8180077026416002
1977-01-13,0.44131,0.44917,0.44131,0.44917,1668608,0,-0.8003538437443528
1977-01-14,0.44917,0.44917,0.44917,0.44917,567623,0,-0.8003538437443528
1977-01-17,0.44917,0.44917,0.44131,0.44131,700104,0,-0.8180077026416002
1977-01-18,0.44131,0.44917,0.44131,0.44917,592749,0,-0.8003538437443528
1977-01-19,0.44917,0.44917,0.44131,0.44917,1002764,0,-0.8003538437443528
1977-01-20,0.44917,0.44917,0.44131,0.44131,672696,0,-0.8180077026416002
1977-01-21,0.44131,0.44917,0.44131,0.44917,1417344,0,-0.8003538437443528
1977-01-24,0.44917,0.44917,0.44131,0.44131,1167227,0,-0.8180077026416002
1977-01-25,0.44917,0.44917,0.44131,0.44131,847435,0,-0.8180077026416002
1977-01-26,0.44917,0.44917,0.44917,0.44917,1247173,0,-0.8003538437443528
1977-01-27,0.44917,0.44917,0.44917,0.44917,720667,0,-0.8003538437443528
1977-01-28,0.44917,0.45687,0.44917,0.44917,860002,0,-0.8003538437443528
1977-01-31,0.44917,0.44917,0.44917,0.44917,722946,0,-0.8003538437443528
1977-02-01,0.44917,0.44917,0.44917,0.44917,724093,0,-0.8003538437443528
1977-02-02,0.44917,0.44917,0.44131,0.44131,479682,0,-0.8180077026416002
1977-02-03,0.44131,0.44917,0.43346,0.44131,1119259,0,-0.8180077026416002
1977-02-04,0.44131,0.44131,0.43346,0.44131,647572,0,-0.8180077026416002
1977-02-07,0.44131,0.44131,0.43346,0.43346,565338,0,-0.8359557592218809
