Date,Open,High,Low,Close,Volume,OpenInt,Log_Close
2010-11-17,28.258,28.258,28.258,28.258,0,0,3.341376603343616
2010-11-18,29.971,30.819,29.019,29.276,534979352,0,3.376768067738981
2010-11-19,29.242,29.541,28.354,29.339,125965675,0,3.378917688971074
2010-11-22,29.284,29.524,28.951,29.182,42809408,0,3.3735520808418307
2010-11-23,29.071,29.105,28.421,28.468,36442657,0,3.3487806494370247
2010-11-24,28.882,28.944,28.449,28.669,30536292,0,3.3558163996218138
2010-11-26,28.608,28.951,28.439,28.944,14365742,0,3.365362928652939
2010-11-29,28.944,28.951,28.316,28.944,32441793,0,3.365362928652939
2010-11-30,28.711,29.329,28.566,29.284,67130739,0,3.3770412917843964
2010-12-01,29.671,29.927,29.473,29.781,40449739,0,3.3938706062756943
2010-12-02,29.901,29.953,29.551,29.695,27154385,0,3.3909786814678236
2010-12-03,29.585,29.627,29.087,29.585,22652481,0,3.3872674761286574
2010-12-06,29.524,29.781,29.465,29.524,13639463,0,3.385203491907806
2010-12-07,29.758,29.876,29.507,29.695,24318529,0,3.3909786814678236
2010-12-08,29.636,29.739,29.397,29.5,14721677,0,3.3843902633457743
2010-12-09,29.424,29.483,28.788,28.892,21500968,0,3.3635647401886004
2010-12-10,28.985,29.105,28.711,28.951,13720326,0,3.3656047457367673
2010-12-13,29.079,29.158,28.858,28.944,12960925,0,3.365362928652939
2010-12-14,28.882,29.047,28.644,29.019,17778993,0,3.3679507878685198
2010-12-15,28.951,29.124,28.78,28.78,11892734,0,3.359680701459222
2010-12-16,28.747,28.993,28.737,28.78,11546804,0,3.359680701459222
2010-12-17,28.711,29.114,28.421,29.114,41670665,0,3.3712191581424693
2010-12-20,29.038,29.158,28.892,28.906,14572366,0,3.36404918602665
2010-12-21,28.993,29.063,28.873,28.985,10525561,0,3.3667784547916964
2010-12-22,28.873,29.927,28.711,29.901,24458959,0,3.397891924653429
2010-12-23,29.687,30.415,29.646,29.806,23976516,0,3.3947097155266013
2010-12-27,29.465,29.876,29.276,29.627,8606379,0,3.388686107725084
2010-12-28,30.296,30.546,30.029,30.244,27448666,0,3.4092978176960234
2010-12-29,30.374,31.083,30.184,30.845,24498539,0,3.428974662661602
2010-12-30,30.913,31.666,30.845,31.528,19844641,0,3.4508760398927025
2010-12-31,31.545,31.649,31.314,31.563,7205007,0,3.4519855484942603
2011-01-03,31.958,32.54,31.709,31.736,29064357,0,3.457451683212029
2011-01-04,31.768,32.531,31.409,32.453,37794813,0,3.479792888799827
2011-01-05,32.084,32.795,32.084,32.598,26281634,0,3.484250936797441
2011-01-06,32.743,33.807,32.598,33.309,45048732,0,3.5058276307402383
2011-01-07,33.259,33.678,32.975,33.377,23243790,0,3.50786704001861
2011-01-10,33.687,33.703,32.919,33.02,21423809,0,3.497113438491982
2011-01-11,33.104,33.763,32.975,33.181,17360749,0,3.501977422945872
2011-01-12,33.353,33.712,32.855,33.07,19588997,0,3.4986265269937014
2011-01-13,33.104,33.148,32.633,32.771,13274418,0,3.489543977960722
2011-01-14,32.693,32.941,32.573,32.711,6886858,0,3.4877114127736024
2011-01-18,32.582,32.824,31.958,32.564,10415900,0,3.4832073837117314
2011-01-19,32.35,32.481,31.906,32.026,14793629,0,3.466548072900285
2011-01-20,31.777,31.932,31.059,31.838,18504964,0,3.4606605449329444
2011-01-21,31.964,32.409,31.528,31.888,11151231,0,3.462229763470439
2011-01-24,32.291,32.419,31.709,32.231,14250808,0,3.472928722339504
2011-01-25,32.409,32.956,32.291,32.88,14390720,0,3.492864570187979
2011-01-26,33.181,33.318,32.419,32.445,13474632,0,3.4795463480731317
2011-01-27,32.711,33.353,32.564,33.112,16293765,0,3.4998957544464315
2011-01-28,32.54,32.557,30.836,31.342,43368520,0,3.444959051101024
2011-01-31,31.589,31.726,30.734,31.247,16300772,0,3.4419233715741155
2011-02-01,31.622,31.881,30.939,31.212,32809594,0,3.440802636254515
2011-02-02,31.22,31.305,30.469,30.553,20372398,0,3.4194628804689997
2011-02-03,30.799,30.875,30.081,30.875,22604304,0,3.4299467949481413
2011-02-04,31.042,31.451,30.734,31.333,12983600,0,3.4446718552474347
2011-02-07,31.64,31.759,31.35,31.428,8566154,0,3.447699215313575
2011-02-08,31.658,31.726,31.171,31.589,7292433,0,3.452808958725734
2011-02-09,31.528,31.606,31.067,31.177,7475032,0,3.4396806434778493
2011-02-10,30.972,31.374,30.415,30.725,13482501,0,3.4250766554520986
2011-02-11,30.622,31.314,30.442,31.212,15787004,0,3.440802636254515
2011-02-14,31.296,31.305,30.374,31.075,8319717,0,3.436403637396775
2011-02-15,30.99,31.177,30.655,30.92,12071439,0,3.4314032237192214
2011-02-16,30.92,31.545,30.845,31.468,10139558,0,3.448971156466996
2011-02-17,31.296,31.428,31.083,31.144,8716964,0,3.4386216103081546
2011-02-18,31.185,31.478,31.153,31.264,7963147,0,3.442467275860372
2011-02-22,30.706,30.955,30.356,30.63,16285136,0,3.421979920844684
2011-02-23,30.697,30.774,28.944,29.617,32943657,0,3.388348520793244
2011-02-24,29.883,29.971,27.444,28.274,74230394,0,3.341942654444841
2011-02-25,28.831,29.284,28.3,28.468,33898590,0,3.3487806494370247
2011-02-28,28.677,28.892,28.139,28.711,18551346,0,3.3572803245956986
2011-03-01,28.9,28.9,27.77,28.214,31904566,0,3.3398183086523106
2011-03-02,28.171,28.402,27.906,28.156,16671927,0,3.337760475745885
2011-03-03,28.156,28.402,27.958,28.282,20550992,0,3.3422255598855846
2011-03-04,28.316,28.326,27.412,27.735,28308840,0,3.322695153507198
2011-03-07,27.701,27.828,26.99,27.145,17605031,0,3.3011928673574142
2011-03-08,27.18,28.103,27.135,28.017,16944453,0,3.3328114687956907
2011-03-09,28.034,28.052,27.488,27.615,13106973,0,3.318359103353151
2011-03-10,26.946,27.212,26.502,26.904,44762226,0,3.2922749744379685
2011-03-11,26.757,27.444,26.75,27.341,16375978,0,3.3083874070716712
2011-03-14,27.521,27.659,26.913,27.05,11651094,0,3.2976870052924907
2011-03-15,26.529,27.821,26.246,27.701,25072413,0,3.321468513624697
2011-03-16,27.761,27.856,26.888,27.212,16524776,0,3.3036580524828145
2011-03-17,27.557,27.735,26.828,26.922,12878836,0,3.2929437962219015
2011-03-18,27.18,27.359,26.904,27.273,11516304,0,3.3058972018078308
2011-03-21,27.605,27.659,26.742,26.785,15395857,0,3.2878420293329236
2011-03-22,26.757,26.843,26.126,26.321,19832763,0,3.2703670996563385
2011-03-23,26.203,26.785,25.858,26.682,26879714,0,3.283989180756614
2011-03-24,26.819,27.058,26.75,26.88,18373424,0,3.2913825156549485
2011-03-25,26.964,27.145,26.622,26.946,17799940,0,3.293834863333656
2011-03-28,27.041,27.041,26.416,26.416,12033625,0,3.2739698871777723
2011-03-29,26.485,26.69,26.27,26.631,11329600,0,3.282075950754292
2011-03-30,26.682,27.094,26.579,27.016,8939487,0,3.2964292830832664
2011-03-31,26.888,27.016,26.545,26.57,10473375,0,3.279782759771722
2011-04-01,26.88,27.94,26.407,27.752,34886483,0,3.3233079096674487
2011-04-04,27.828,28.017,27.573,27.735,14400986,0,3.322695153507198
2011-04-05,27.701,28.147,27.488,28.147,11802954,0,3.33744077697045
2011-04-06,28.258,28.496,27.847,28.147,9495817,0,3.33744077697045
2011-04-07,28.121,28.121,27.462,27.667,13114102,0,3.3202403672486804
2011-04-08,27.744,28.043,26.819,26.99,18749530,0,3.2954664270299134
2011-04-11,26.837,26.932,26.159,26.349,17709112,0,3.27143032360309
2011-04-12,26.032,26.837,25.772,26.673,22946544,0,3.2836518178071117
2011-04-13,26.742,26.819,26.193,26.425,16082504,0,3.2743105317563015
2011-04-14,26.321,26.425,25.988,26.185,10522838,0,3.265186727731451
2011-04-15,26.193,26.304,25.845,25.894,11542113,0,3.2540112816364553
2011-04-18,25.772,25.979,25.601,25.663,14882890,0,3.2450502658376634
2011-04-19,25.611,25.611,24.977,25.337,23186693,0,3.2322657779869606
2011-04-20,25.484,26.014,25.192,25.63,25738187,0,3.24376354037598
2011-04-21,25.772,26.545,25.695,26.502,22103917,0,3.2772202018424443
2011-04-25,26.545,26.709,25.962,26.665,18032336,0,3.2833518440525653
2011-04-26,26.88,26.982,26.511,26.777,18287668,0,3.287543310089449
2011-04-27,26.946,27.222,26.785,27.212,17454516,0,3.3036580524828145
2011-04-28,27.145,27.48,26.956,27.324,18463858,0,3.307765436869603
2011-04-29,27.392,27.898,27.324,27.48,16082209,0,3.3134584673541485
2011-05-02,27.752,27.828,27.333,27.557,12860333,0,3.316256586809755
2011-05-03,27.726,28.429,27.71,28.251,34895209,0,3.341128855196036
2011-05-04,28.392,28.66,28.009,28.291,23926246,0,3.3425437328683123
2011-05-05,27.453,27.984,26.964,27.418,31085377,0,3.3111997320137085
2011-05-06,27.828,27.916,27.265,27.324,14951373,0,3.307765436869603
2011-05-09,27.18,27.453,26.853,26.88,12435731,0,3.2913825156549485
2011-05-10,26.946,27.094,26.828,27.067,9157861,0,3.298315273694626
2011-05-11,27.033,27.28,26.64,26.802,10594424,0,3.2884765115980366
2011-05-12,26.614,27.058,26.485,26.904,16452696,0,3.2922749744379685
2011-05-13,26.922,27.008,26.416,26.605,12655889,0,3.281099168048333
2011-05-16,26.757,26.973,26.614,26.631,8500640,0,3.282075950754292
