Date,Log_A,Log_B,Spread,Z-Score,Signal
1970-01-02,0.4035966970481369,-0.2826281981491019,0.22914950148432084,1.2764534827681695,Short
1970-01-05,0.4250716377470827,-0.2722025016033945,0.24353245148938496,1.3565722109675444,Short
1970-01-06,0.4197624128089888,-0.2930296787783762,0.25822621545525926,1.4384222960330666,Short
1970-01-07,0.41462304589293,-0.2930296787783762,0.25228902852177026,1.4053498132652338,Short
1970-01-08,0.41462304589293,-0.2722025016033945,0.23146185134678854,1.2893341873571225,Short
1970-01-09,0.4197624128089888,-0.2722025016033945,0.23739903828027753,1.3224066701249553,Short
1970-01-12,0.41462304589293,-0.2722025016033945,0.23146185134678854,1.2893341873571225,Short
1970-01-13,0.4091250689396515,-0.2930296787783762,0.24593756199665573,1.3699696290878633,Short
1970-01-14,0.4091250689396515,-0.3137523001849649,0.26666018340324443,1.4854028379545048,Short
1970-01-15,0.3983062109096849,-0.3137523001849649,0.25416183806617937,1.415782104193373,Short
1970-01-16,0.4035966970481369,-0.3137523001849649,0.26027360352018386,1.4498270584659878,Short
1970-01-19,0.4035966970481369,-0.3251762768793613,0.27169758021458024,1.51346313336106,Short
1970-01-20,0.3983062109096849,-0.3358924047562038,0.27630194263741825,1.5391112557112654,Short
1970-01-21,0.3983062109096849,-0.3358924047562038,0.27630194263741825,1.5391112557112654,Short
1970-01-22,0.3929200806058694,-0.3358924047562038,0.2700796855026027,1.5044508190139687,Short
1970-01-23,0.3763108906778132,-0.3471490312853284,0.26214876091359973,1.46027242784301,Short
1970-01-26,0.3817869807535873,-0.3471490312853284,0.2684749429075149,1.495511767167127,Short
1970-01-27,0.3763108906778132,-0.3471490312853284,0.26214876091359973,1.46027242784301,Short
1970-01-28,0.3423833032218676,-0.3925982424013408,0.2684035669174126,1.4951141746322887,Short
1970-01-29,0.319253411289099,-0.3925982424013408,0.24168305943094642,1.3462703647112513,Short
1970-01-30,0.3132036096818585,-0.4042158887077325,0.24631175094205499,1.3720540097191731,Short
1970-02-02,0.3072640871795032,-0.4042158887077325,0.23945019465154005,1.333832423516696,Short
1970-02-03,0.3250501089205193,-0.4158185201876559,0.2715998969291428,1.512918998771645,Short
1970-02-04,0.3250501089205193,-0.3925982424013408,0.2483796191428277,1.3835728546203587,Short
1970-02-05,0.319253411289099,-0.3925982424013408,0.24168305943094642,1.3462703647112513,Short
1970-02-06,0.2952781490734088,-0.3925982424013408,0.2139859488959533,1.1919864890056522,Short
1970-02-09,0.2892308724416313,-0.4042158887077325,0.2186175573521975,1.2177863825532973,Short
1970-02-10,0.2523139286139895,-0.4525567156420149,0.22431056402034005,1.2494986845303986,Short
1970-02-11,0.2584334720926572,-0.4280175125786758,0.20684088414417323,1.1521856483844135,Short
1970-02-12,0.2332522854624975,-0.4525567156420149,0.2022898481426234,1.1268345753218387,Short
1970-02-13,0.2332522854624975,-0.4525567156420149,0.2022898481426234,1.1268345753218387,Short
1970-02-16,0.2004888607494035,-0.4402118444379992,0.15209545572713068,0.8472319290181465,Hold
1970-02-17,0.1940030615677924,-0.4402118444379992,0.14460282039222744,0.8054949825862404,Hold
1970-02-18,0.2459221382035492,-0.4158185201876559,0.1801883356439713,1.0037203969334598,Short
1970-02-19,0.2584334720926572,-0.4042158887077325,0.18303926027322992,1.0196011762873514,Short
1970-02-20,0.2892308724416313,-0.3925982424013408,0.20699991104580578,1.1530714912124704,Short
1970-02-24,0.2832221417296874,-0.3925982424013408,0.20005840286931525,1.1144045413384758,Short
1970-02-25,0.3013630595076449,-0.3471490312853284,0.1755662515919849,0.9779735580898724,Hold
1970-02-26,0.2710952688473819,-0.3471490312853284,0.1405997792328752,0.783196457839639,Hold
1970-02-27,0.2710952688473819,-0.3471490312853284,0.1405997792328752,0.783196457839639,Hold
1970-03-02,0.2584334720926572,-0.3696154552144672,0.14843882677996462,0.8268630574972962,Hold
1970-03-03,0.2523139286139895,-0.3811140172443333,0.15286786562265847,0.8515345580654915,Hold
1970-03-04,0.2584334720926572,-0.3925982424013408,0.1714216139668382,0.9548862849465244,Hold
1970-03-05,0.2710952688473819,-0.3925982424013408,0.18604899034888756,1.036366564875937,Short
1970-03-06,0.2584334720926572,-0.3925982424013408,0.1714216139668382,0.9548862849465244,Hold
1970-03-09,0.2459221382035492,-0.3925982424013408,0.15696805785765616,0.8743742527821737,Hold
1970-03-10,0.2648227783056983,-0.3925982424013408,0.17880277705204128,0.9960022867966616,Hold
1970-03-11,0.2832221417296874,-0.3925982424013408,0.20005840286931525,1.1144045413384758,Short
1970-03-12,0.277025492263252,-0.3925982424013408,0.19289980399041967,1.0745283102687269,Short
1970-03-13,0.277025492263252,-0.4042158887077325,0.2045174502968114,1.1392432016095537,Short
1970-03-16,0.277025492263252,-0.4158185201876559,0.2161200817767348,1.203874454420013,Short
1970-03-17,0.277025492263252,-0.4158185201876559,0.2161200817767348,1.203874454420013,Short
1970-03-18,0.2892308724416313,-0.4042158887077325,0.2186175573521975,1.2177863825532973,Short
1970-03-19,0.2892308724416313,-0.4280175125786758,0.24241918122314082,1.3503708546503594,Short
1970-03-20,0.2892308724416313,-0.4280175125786758,0.24241918122314082,1.3503708546503594,Short
1970-03-23,0.2892308724416313,-0.4402118444379992,0.2546135130824642,1.4182981129295107,Short
1970-03-24,0.3072640871795032,-0.4280175125786758,0.26325181852248336,1.466416895613758,Short
1970-03-25,0.3250501089205193,-0.4158185201876559,0.2715998969291428,1.512918998771645,Short
1970-03-26,0.3308852297524291,-0.4402118444379992,0.30273416879509474,1.6863492244510345,Short
1970-03-30,0.3366864993795944,-0.4402118444379992,0.3094360102457272,1.7236811357369302,Short
1970-03-31,0.3250501089205193,-0.4280175125786758,0.28379888932016273,1.5808722180582477,Short
1970-04-01,0.3308852297524291,-0.4042158887077325,0.26673821306482803,1.4858374940748214,Short
1970-04-02,0.3308852297524291,-0.4280175125786758,0.29053983693577135,1.6184219661718833,Short
1970-04-03,0.3366864993795944,-0.4158185201876559,0.2850426859953839,1.5878006581711763,Short
