Date,Open,High,Low,Close,Volume,OpenInt,Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,Log Returns,Log_Close
1970-01-02,0.7587,0.8092,0.7587,0.8092,753088,0,,,,,0.8092,,,,,,6.656122314485302,6.656122314485302,,,-0.2117091736885466
1970-01-05,0.8263,0.8429,0.8263,0.8345,879203,0,3.126544735541281,,,,0.8116095238095239,,,,,,2.008955585138563,0.9923756504901348,,0.0307866378082994,-0.18092253588024726
1970-01-06,0.8429,0.8598,0.8429,0.8429,1607067,0,1.0065907729179149,,,,0.8145895691609978,,,,,,2.004982797484877,0.0,,0.0100155839015467,-0.1709069519787006
1970-01-07,0.8429,0.8598,0.8429,0.8512,767501,0,0.984695693439308,,,,0.8180762768599503,,,,,,2.004982797484877,0.9846956934393136,,0.0097987915839433,-0.16110816039475717
1970-01-08,0.8512,0.8512,0.8263,0.8429,958476,0,-0.9750939849624052,0.83614,,,0.8204404409685265,,,,,,3.0134333777078446,-0.9750939849624032,,-0.0097987915839434,-0.1709069519787006
1970-01-09,0.8429,0.8512,0.8176,0.8176,753088,0,-3.001542294459602,0.83782,,,0.8201699227810478,,,,,,4.109589041095886,-3.001542294459602,,-0.0304751075539964,-0.20138205953269708
1970-01-12,0.8176,0.8263,0.8092,0.8092,673818,0,-1.0273972602739656,0.8327600000000001,,,0.8191251682304719,,,,,,2.113198220464657,-1.027397260273968,,-0.0103271141558495,-0.2117091736885466
1970-01-13,0.8092,0.8092,0.7672,0.7756,1048558,0,-4.152249134948105,0.8192999999999999,,,0.8149799141132841,,,,,,5.474452554744531,-4.152249134948105,,-0.0424091819250937,-0.2541183556136404
1970-01-14,0.7672,0.7672,0.7504,0.7672,1311595,0,-1.0830324909747224,0.8025,,,0.8104294461024951,,,,,,2.238805970149259,0.0,,-0.0108893997992682,-0.2650077554129086
1970-01-15,0.7587,0.7587,0.7418,0.7504,1704357,0,-2.189781021897818,0.784,0.81007,,0.8047123559974956,,,,,,2.278242113777302,-1.0939765388164076,,-0.0221411258772136,-0.28714888129012217
1970-01-16,0.7504,0.7504,0.7165,0.7248,1383664,0,-3.4115138592750505,0.76544,0.8016300000000001,,0.7971016554263055,,,2.2638129954895274,,,4.7313328681088525,-3.411513859275048,-10.430054374691055,-0.0347106429632453,-0.3218595242533675
1970-01-19,0.7248,0.7248,0.6914,0.6997,1743994,0,-3.4630242825607116,0.74354,0.78815,,0.7878253072904668,,,1.8216890351753592,,,4.8307781313277385,-3.463024282560708,-16.153385260635112,-0.0352440829769185,-0.357103607230286
1970-01-20,0.6997,0.7418,0.6826,0.7418,1286378,0,6.016864370444486,0.73678,0.7780400000000001,,0.7834419446913747,,,2.9794486079312072,,,8.672721945502495,6.01686437044448,-11.994305374302993,0.0584279933036394,-0.2986756139266466
1970-01-21,0.7504,0.7756,0.7504,0.7587,695436,0,2.2782421137772957,0.7350800000000001,0.76879,,0.7810855690064819,,,3.1114505759220026,40.0,,3.3582089552238807,1.106076759061845,-10.867011278195482,0.0225267772885387,-0.27614883663810785
1970-01-22,0.7587,0.7587,0.7336,0.7336,421583,0,-3.3082904969025995,0.73172,0.75786,,0.7765631338630073,,,3.1875226806989225,36.383285302593656,,3.421483097055618,-3.308290496902598,-12.967137264206896,-0.033642521401774,-0.3097913580398819
1970-01-23,0.7336,0.7504,0.7165,0.7165,518876,0,-2.3309705561613936,0.73006,0.7477499999999999,,0.7708428353998638,,,3.1554401904783576,28.099480326651815,,4.7313328681088525,-2.3309705561613963,-12.365459882583163,-0.0235856736740285,-0.3333770317139105
1970-01-26,0.7165,0.7248,0.7082,0.7082,468427,0,-1.15840893230984,0.7317600000000001,0.73765,,0.7648768510760672,,,3.1546061754757777,24.990716672855555,,2.3439706297655953,-1.1584089323098357,-12.481463173504691,-0.0116517075904231,-0.34502873930433364
1970-01-27,0.6914,0.6914,0.6492,0.6576,4810396,0,-7.144874329285522,0.71492,0.72585,,0.7546600081164417,,,3.5717086009147065,18.93453145057768,,6.500308071472584,-4.88863176164305,-15.214027849406907,-0.0741296959358333,-0.41915843524016694
1970-01-28,0.6576,0.6658,0.6405,0.6405,1441320,0,-2.600364963503654,0.69128,0.71318,,0.7437876263910663,,,3.5804940744696445,18.414481897627965,,3.950039032006244,-2.60036496350365,-16.514598540145986,-0.0263477224051812,-0.4455061576453482
1970-01-29,0.6323,0.6323,0.5733,0.6069,2050274,0,-5.245901639344252,0.66594,0.6988300000000001,0.7544500000000001,0.7307507095919171,0.8952963066795261,0.613603693320474,3.750380862873403,17.94949802251294,1263854.95,10.291296005581708,-4.017080499762767,-19.123134328358205,-0.0538850884949793,-0.4993912461403276
1970-01-30,0.6153,0.6405,0.6153,0.6236,2089912,0,2.751688910858463,0.64736,0.68871,0.74517,0.7205458801069726,0.8949985209304638,0.5953414790695362,3.9976352673014177,22.46290801186946,1330696.15,4.095563139931741,1.3489354786283252,-13.962472406181014,0.027145104341812,-0.47224614179851554
1970-02-02,0.6236,0.6492,0.5988,0.5988,1776426,0,-3.976908274534962,0.6254799999999999,0.67862,0.733385,0.7089510343824991,0.8905288399080681,0.5762411600919318,4.029980639984645,23.065204143814768,1375557.3,8.41683366733467,-3.9769082745349658,-14.42046591396312,-0.0405814846381482,-0.5128276264366638
1970-02-03,0.5988,0.6323,0.5815,0.6153,2943892,0,2.755511022044077,0.6170199999999999,0.66597,0.722005,0.7000318882508325,0.8787198463057393,0.5652901536942607,3.4462945466401513,27.415997621171584,1442398.55,8.736027515047285,2.755511022044081,-17.05311404691292,0.0271823012009712,-0.4856453252356925
1970-02-04,0.6153,0.6323,0.5815,0.5899,1545813,0,-4.128067609296271,0.6069,0.64909,0.70894,0.6895431369888485,0.8638622745698457,0.5540177254301544,3.190289863023146,26.73238619889824,1481314.15,8.736027515047285,-4.128067609296275,-22.248583102675635,-0.0421569227374149,-0.5278022479731075
1970-02-05,0.5815,0.5815,0.5648,0.5733,1578243,0,-2.81403627733513,0.60018,0.6330600000000001,0.69546,0.6784723620375296,0.8482054352836768,0.5427145647163232,3.1791292451794075,27.448645430187568,1512302.5,2.9567988668555327,-1.4101461736887335,-21.851145038167942,-0.0285438910946924,-0.5563461390678
1970-02-06,0.5733,0.5815,0.5648,0.5815,1398080,0,1.4303157160300062,0.5917600000000001,0.6195600000000001,0.683655,0.6692368989863363,0.8331133832235227,0.5341966167764773,3.4015126904601383,31.473354231974923,1544552.1,2.9567988668555327,1.430315716029999,-18.841591067690167,0.0142018320443821,-0.5421443070234179
1970-02-09,0.5815,0.5815,0.5648,0.5815,5055417,0,0.0,0.5883,0.60689,0.67227,0.6608810038447804,0.8160434489799101,0.52849655102009,3.4531867996299828,21.05453232213796,1763632.05,2.9567988668555327,0.0,-17.89042643321096,0.0,-0.5421443070234179
1970-02-10,0.5815,0.5899,0.5648,0.5733,1592656,0,-1.410146173688731,0.5799000000000001,0.59846,0.662155,0.6525399558595633,0.8037682832752628,0.5205417167247373,2.9198867488293616,15.43624161073825,1790836.95,4.444050991501419,-1.4101461736887335,-12.819343065693422,-0.014201832044382,-0.5563461390678
1970-02-11,0.5733,0.5733,0.5648,0.5733,1228722,0,0.0,0.5765800000000001,0.5917399999999999,0.6524599999999999,0.6449932933967477,0.7902920320267802,0.5146279679732196,2.9093382026589305,17.030028794734676,1786693.3,1.5049575070821644,0.0,-10.491803278688517,0.0,-0.5563461390678
1970-02-12,0.5733,0.5815,0.5648,0.5733,1088194,0,0.0,0.5765800000000001,0.58838,0.643605,0.6381653606922956,0.7776472317582658,0.5095627682417342,2.518101331235212,18.31858407079646,1755885.15,2.9567988668555327,0.0,-5.536332179930792,0.0,-0.5563461390678
1970-02-13,0.5733,0.5815,0.5142,0.5396,18621816,0,-5.8782487353916,0.5681999999999999,0.57998,0.6343449999999999,0.6287781834835056,0.7703436296370579,0.4983463703629419,2.734472013761781,16.46778042959427,2617792.75,13.088292493193316,-5.878248735391603,-13.470173187941004,-0.0605810155807363,-0.6169271546485363
1970-02-16,0.5396,0.548,0.5309,0.5396,3178101,0,0.0,0.55982,0.57406,0.62634,0.6202850231517432,0.7649632820120388,0.4877167179879612,2.604508124791861,20.617529880478088,2689498.1,3.220945564136372,0.0,-9.886439545758186,0.0,-0.6169271546485363
