"Date,Open,High,Low,Close,Volume,OpenInt",Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,P/B Ratio,P/E Ratio,Log Returns,Dividend Yield,Sector
"2017-11-08,0.26,0.29,0.24,0.28,21031,0",,,,,,,,,,,,,,,,,,
"2017-11-09,0.271,0.28,0.23,0.2506,53745,0",,,,,,,,,,,,,,,,,,
"2017-11-10,0.241,0.289,0.241,0.289,35403,0",,,,,,,,,,,,,,,,,,
