"Date,Open,High,Low,Close,Volume,OpenInt",Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,P/B Ratio,P/E Ratio,Log Returns,Dividend Yield,Sector
"2016-12-06,57.8,57.8,57.8,57.8,755,0",,,,,,,,,,,,,,,,,,
"2016-12-07,59.9306,60,59.9306,60,590,0",,,,,,,,,,,,,,,,,,
"2017-01-04,64.0304,64.0304,64.0304,64.0304,100,0",,,,,,,,,,,,,,,,,,
"2017-09-27,71,71,71,71,100,0",,,,,,,,,,,,,,,,,,
