"Date,Open,High,Low,Close,Volume,OpenInt",Daily Return,MA-5,MA-10,MA-20,EMA,BB_upper,BB_lower,Volatility-10,RSI,Volume MA-20,High-Low,Close-Open,ROC-10,P/B Ratio,P/E Ratio,Log Returns,Dividend Yield,Sector
"2017-11-06,10.2,10.2,9.9999,10,1835,0",,,,,,,,,,,,,,,,,,
"2017-11-07,10.99,12.5,10.99,11.96,2397,0",,,,,,,,,,,,,,,,,,
"2017-11-08,12.24,12.4901,12.23,12.4,6513,0",,,,,,,,,,,,,,,,,,
